Feature,Perturbation_%,Sample_Index,Original_Feature_Value,Perturbed_Feature_Value,Baseline_Prediction,Perturbed_Prediction,Actual_Value,Impact_on_Prediction_%,Baseline_Error_%,Perturbed_Error_%,Error_Change_%
Cover_Thickness_mm,5.0,23,51.0,53.550000000000004,0.20017119692634183,0.20358490466012794,0.216001,1.7053940757731818,7.328578605496348,5.748165675099681,-1.5804129303966672
Cover_Thickness_mm,5.0,24,50.0,52.5,0.3891749205539696,0.381669527365951,0.4750009999999999,-1.928539788055999,18.068610265247923,19.648689715189846,1.5800794499419233
Cover_Thickness_mm,5.0,25,70.0,73.5,0.07067466925325813,0.06875939546778835,0.094001,-2.7099862025622237,24.81498148609256,26.85248511421331,2.0375036281207493
Cover_Thickness_mm,5.0,26,50.0,52.5,0.321926346274652,0.32297397715954856,0.235001,0.32542564379082495,36.98935165154702,37.435150131083944,0.44579847953692564
Cover_Thickness_mm,5.0,27,51.0,53.550000000000004,0.0878354815924024,0.09184272062179773,0.111001,4.562209891431788,20.869648388390736,17.259555660041148,-3.6100927283495885
Cover_Thickness_mm,5.0,28,51.0,53.550000000000004,0.08854839416904203,0.09536883190089368,0.065001,7.702497369778598,36.22620293386568,46.71902263179594,10.492819697930258
Cover_Thickness_mm,5.0,29,50.0,52.5,0.303142062555608,0.3030758883766354,0.242001,-0.02182942822738432,25.264797482493044,25.237452893432426,-0.02734458906061832
Cover_Thickness_mm,5.0,30,51.0,53.550000000000004,0.20017119692634183,0.20358490466012794,0.247001,1.7053940757731818,18.95935768424345,17.577295371222004,-1.3820623130214464
Cover_Thickness_mm,5.0,31,51.0,53.550000000000004,0.08854839416904203,0.09536883190089368,0.075001,7.702497369778598,18.062951386037565,27.156747111230096,9.093795725192532
Cover_Thickness_mm,5.0,32,51.0,53.550000000000004,0.217276126113634,0.2056528843693939,0.243001,-5.349525487287643,10.586324289351069,15.369531660612953,4.783207371261884
Cover_Thickness_mm,5.0,33,50.0,52.5,0.2790020036464555,0.2541192179771166,0.313001,-8.918497123364654,10.862264450766764,18.812010831557522,7.949746380790758
Cover_Thickness_mm,5.0,34,30.0,31.5,0.37232587549993273,0.3689464920372672,0.3460009999999999,-0.9076413123659307,7.608323530837439,6.631625930927171,-0.9766975999102687
Cover_Thickness_mm,10.0,0,20.0,22.0,0.5435466844844884,0.5423839600997663,0.4820009999999999,-0.21391435508889997,12.768787717139283,12.527559092152593,-0.2412286249866895
Cover_Thickness_mm,10.0,1,10.0,11.0,0.2431976931074724,0.22735471148112663,0.228001,-6.514445685693472,6.665187041930694,0.283458633459232,-6.381728408471462
Cover_Thickness_mm,10.0,2,50.0,55.00000000000001,0.34481258947472704,0.3517499507483175,0.225001,2.0119222688935294,53.24935865828464,56.332616632067186,3.083257973782544
Cover_Thickness_mm,10.0,3,65.0,71.5,0.11182121349170218,0.18752006482535785,0.124001,67.69632431083659,9.822329262100965,51.224639176585555,41.40230991448459
Cover_Thickness_mm,10.0,4,65.0,71.5,0.11182121349170218,0.18752006482535785,0.043001,67.69632431083659,160.04328618334966,336.083032546587,176.03974636323733
Cover_Thickness_mm,10.0,5,65.0,71.5,0.11182121349170218,0.18752006482535785,0.047001,67.69632431083659,137.91241354801426,298.9703725992167,161.05795905120246
Cover_Thickness_mm,10.0,6,70.0,77.0,0.15796835139928075,0.16767024584686047,0.129001,6.141669746908485,22.45513709140297,29.975927199680978,7.520790108278007
Cover_Thickness_mm,10.0,7,51.0,56.1,0.08911383572510151,0.08493256889105924,0.064001,-4.692051239877775,39.238192723709794,32.705065375633566,-6.533127348076228
Cover_Thickness_mm,10.0,8,65.0,71.5,0.11182121349170218,0.18752006482535785,0.230001,67.69632431083659,51.382292471901344,18.469891511185672,-32.91240096071567
Cover_Thickness_mm,10.0,9,50.0,55.00000000000001,0.380202359391613,0.4068588917106648,0.4750009999999999,7.011143318970109,19.95756653320454,14.34567680685622,-5.611889726348322
Cover_Thickness_mm,10.0,10,50.0,55.00000000000001,0.321926346274652,0.35852020925397454,0.4300009999999999,11.367153823471916,25.133581951053124,16.623401049305787,-8.510180901747336
Cover_Thickness_mm,10.0,11,50.0,55.00000000000001,0.31947808965114904,0.32020010803067306,0.3480009999999999,0.22599934171148173,8.196215053649517,7.988739104004542,-0.20747594964497562
Cover_Thickness_mm,10.0,12,70.0,77.0,0.26356669606396976,0.2692187834006006,0.254001,2.144461884235577,3.7660072456288702,5.991229719804508,2.225222474175638
Cover_Thickness_mm,10.0,13,50.0,55.00000000000001,0.3134904289744377,0.3244158213017689,0.3080009999999999,3.48508002718707,1.782276347946199,5.329470132164822,3.547193784218623
Cover_Thickness_mm,10.0,14,70.0,77.0,0.055136223558347255,0.0533355039695525,0.052001,-3.265946545811512,6.029160128357641,2.566304435592588,-3.462855692765053
Cover_Thickness_mm,10.0,15,51.0,56.1,0.13555278738176288,0.1451272963513828,0.137001,7.063306594098163,1.0570817864374218,5.931559880134297,4.874478093696875
Cover_Thickness_mm,10.0,16,50.0,55.00000000000001,0.380202359391613,0.4068588917106648,0.3600009999999999,7.011143318970109,5.611473132467163,13.016044875060045,7.404571742592882
Cover_Thickness_mm,10.0,17,50.0,55.00000000000001,0.321926346274652,0.35852020925397454,0.3500009999999999,11.367153823471916,8.021306717794493,2.4340528324132356,-5.587253885381258
Cover_Thickness_mm,10.0,18,51.0,56.1,0.09083998274249505,0.10350318366909718,0.085001,13.940118155348644,6.869310646339525,21.76701882224584,14.897708175906317
Cover_Thickness_mm,10.0,19,20.0,22.0,0.2710360597582249,0.2763269718683665,0.200001,1.9521063414444948,35.51735229235099,38.162795120207655,2.6454428278566624
Cover_Thickness_mm,10.0,20,65.0,71.5,0.11182121349170218,0.18752006482535785,0.191001,67.69632431083659,41.4551685636713,1.8224696073016122,-39.63269895636969
Cover_Thickness_mm,10.0,21,20.0,22.0,0.3052649179485576,0.3042064600886368,0.256001,-0.34673419632818153,19.243642778175715,18.83018429171636,-0.4134584864593549
Cover_Thickness_mm,10.0,22,65.0,71.5,0.11182121349170218,0.18752006482535785,0.139001,67.69632431083659,19.553662569548298,34.90555091356021,15.351888344011915
Cover_Thickness_mm,10.0,23,51.0,56.1,0.20017119692634183,0.19696027735028993,0.216001,-1.6040867144504551,7.328578605496348,8.815108564177978,1.4865299586816292
Cover_Thickness_mm,10.0,24,50.0,55.00000000000001,0.3891749205539696,0.37895448240944735,0.4750009999999999,-2.6261810832964354,18.068610265247923,20.22027692374386,2.1516666584959374
Cover_Thickness_mm,10.0,25,70.0,77.0,0.07067466925325813,0.0700709445821949,0.094001,-0.8542306280908428,24.81498148609256,25.45723494197413,0.6422534558815691
Cover_Thickness_mm,10.0,26,50.0,55.00000000000001,0.321926346274652,0.35852020925397454,0.235001,11.367153823471916,36.98935165154702,52.56114197555524,15.57179032400822
Cover_Thickness_mm,10.0,27,51.0,56.1,0.0878354815924024,0.09745582985088,0.111001,10.952690284229902,20.869648388390736,12.202746055549053,-8.666902332841683
Cover_Thickness_mm,10.0,28,51.0,56.1,0.08854839416904203,0.10391118203241939,0.065001,17.34959510846606,36.22620293386568,59.86089757452868,23.634694640663
Cover_Thickness_mm,10.0,29,50.0,55.00000000000001,0.303142062555608,0.33391722707028854,0.242001,10.152060144749852,25.264797482493044,37.98175506311484,12.716957580621795
Cover_Thickness_mm,10.0,30,51.0,56.1,0.20017119692634183,0.19696027735028993,0.247001,-1.6040867144504551,18.95935768424345,20.259319860935815,1.2999621766923646
Cover_Thickness_mm,10.0,31,51.0,56.1,0.08854839416904203,0.10391118203241939,0.075001,17.34959510846606,18.062951386037565,38.546395424620194,20.48344403858263
Cover_Thickness_mm,10.0,32,51.0,56.1,0.217276126113634,0.20343682151024245,0.243001,-6.369454781310713,10.586324289351069,16.281487932048652,5.695163642697583
